market,lat,lon,region,conf,d_act,neighbor_dact_z,local_biv_i,local_p,quad_sig
lon38_0976lat14_1204,14.12039,38.09756,Tigray,0.0,36.900000000000006,0.14908879919775517,-0.059535526740681265,0.64,ns
lon38_0994lat13_112,13.11211,38.09962,Amhara,0.0,31.1,-0.03240578085822849,0.01294057798586635,0.907,ns
lon38_1056lat4_8923,4.89637,38.09197,Oromia,1.0,37.400000000000006,1.1117838191248413,-0.258817692086673,0.191,ns
lon38_1071lat13_0061,13.006,38.10717,Amhara,0.0,4.900000000000006,0.04676308466829145,-0.018673870154745517,0.858,ns
lon38_1079lat7_1393,7.13987,38.10937,Oromia,0.0,-109.0,0.14690711916690893,-0.058664317967688395,0.601,ns
lon38_1115lat11_3047,11.30535,38.11086,Amhara,0.0,-78.7,-0.23065648173923248,0.09210789281549396,0.301,ns
lon38_1117lat10_8429,10.84295,38.11167,Amhara,0.0,114.19999999999999,0.2481035082900062,-0.09907500182266481,0.206,ns
lon38_1119lat13_1741,13.17404,38.11212,Amhara,0.0,-104.00000000000001,0.12786252882245436,-0.05105925491923192,0.613,ns
lon38_1131lat9_3819,9.38188,38.11321,Oromia,0.0,-90.89999999999999,0.033309601447422524,-0.013301500034647262,0.889,ns
lon38_1174lat8_019,8.01866,38.11735,SNNPR,0.0,-164.39999999999998,-0.3540755110742499,0.1413927281674611,0.189,ns
lon38_11lat10_2628,10.26281,38.11016,Amhara,0.0,38.2,-0.091973595141738,0.03672775193349322,0.736,ns
lon38_1206lat12_8441,12.84408,38.12063,Amhara,0.0,43.0,0.3966520700664094,-0.15839479592871297,0.172,ns
lon38_1282lat6_9283,6.92836,38.12859,SNNPR,0.0,3.5,-0.1724219421901076,0.06885313454247684,0.586,ns
lon38_1354lat7_4492,7.45004,38.13584,SNNPR,0.0,-28.299999999999997,0.1838808544265131,-0.07342901401525156,0.513,ns
lon38_1484lat10_3332,10.33325,38.14841,Amhara,0.0,56.60000000000001,-0.06410344241300622,0.02559838318160334,0.821,ns
lon38_1487lat12_0319,12.03188,38.14867,Amhara,0.0,-102.2,0.057542845992053115,-0.02297854476479253,0.811,ns
lon38_1504lat12_2206,12.22049,38.15021,Amhara,0.0,4.799999999999997,-0.1286046211495332,0.05135559413331502,0.633,ns
lon38_1518lat10_603,10.60296,38.15182,Amhara,0.0,-25.700000000000003,0.36312309275024657,-0.1450056926806122,0.055,ns
lon38_1546lat10_5714,10.57134,38.15462,Amhara,0.0,60.4,0.2664126617407775,-0.10638638336663825,0.17,ns
lon38_1557lat10_9796,10.97968,38.15559,Amhara,0.0,0.4000000000000057,0.24552114429324462,-0.09804378819957134,0.252,ns
lon38_157lat9_1392,9.13847,38.15763,Oromia,0.0,49.9,-0.10893240347868023,0.04349990110007739,0.672,ns
lon38_158lat10_5379,10.5379,38.15782,Amhara,0.0,-36.2,0.3300717885355743,-0.13180733830070354,0.088,ns
lon38_1596lat10_2814,10.28144,38.1597,Amhara,0.0,84.00000000000001,-0.15391867095105097,0.061464236076793036,0.573,ns
lon38_1674lat10_6633,10.66332,38.16746,Amhara,0.0,27.799999999999997,0.28429996483416725,-0.11352930770009288,0.129,ns
lon38_1736lat7_5675,7.56739,38.17323,SNNPR,0.0,88.1,0.18199443936224757,-0.07267571319649833,0.498,ns
lon38_1741lat13_6932,13.69245,38.17466,Tigray,2.0,0.6000000000000014,-0.0966372674343971,0.006403248550920444,0.865,ns
lon38_1745lat11_5123,11.51301,38.17422,Amhara,0.0,26.799999999999997,-0.1045027980719216,0.041731029846409695,0.597,ns
lon38_174lat9_3292,9.32912,38.17412,Oromia,0.0,-6.799999999999997,-0.021220033525987034,0.008473781264740217,0.932,ns
lon38_1753lat10_8925,10.89253,38.17535,Amhara,0.0,103.4,0.227886488901329,-0.09100175349745067,0.255,ns
lon38_1859lat14_4137,14.41365,38.18586,Tigray,0.0,-93.30000000000001,0.010150228812285944,-0.004053283829030814,0.984,ns
lon38_185lat7_8577,7.85762,38.18498,SNNPR,1.0,-113.5,-0.0968669179639598,0.02255013224307951,0.725,ns
lon38_1875lat10_7535,10.75325,38.18766,Amhara,0.0,88.89999999999999,0.2696729926435546,-0.10768832904391404,0.167,ns
lon38_1962lat10_8781,10.87807,38.19626,Amhara,0.0,70.00000000000001,0.3149364207645998,-0.12576334239016124,0.121,ns
lon38_2035lat9_2044,9.20437,38.20358,Oromia,0.0,6.200000000000003,-0.06261365820840682,0.0250034686888444,0.82,ns
lon38_2083lat8_6585,8.65854,38.20825,Oromia,0.0,13.799999999999997,-0.5640909203593932,0.22525803584135265,0.048,conf_lo_nbr_down
lon38_2105lat9_3833,9.38354,38.21022,Oromia,0.0,-22.10000000000001,-0.03208780320191085,0.012813600188992906,0.894,ns
lon38_2114lat11_9213,11.9214,38.21132,Amhara,0.0,13.200000000000003,0.029566137220773663,-0.01180662506236435,0.894,ns
lon38_2154lat12_011,12.00984,38.2128,Amhara,0.0,-1.9000000000000057,-0.10359567848014878,0.04136879040921796,0.651,ns
lon38_2208lat7_2774,7.27751,38.22075,SNNPR,0.0,182.0,-0.34064095509482867,0.1360279162495578,0.252,ns
lon38_2253lat11_6117,11.61098,38.22772,Amhara,0.0,-39.599999999999994,0.17088793408086628,-0.06824056014856132,0.348,ns
lon38_2314lat7_4704,7.47013,38.23094,SNNPR,0.0,100.1,0.2906787893336309,-0.11607655926161495,0.32,ns
lon38_2453lat7_7903,7.78697,38.24415,SNNPR,1.0,7.099999999999994,-0.08487209415064345,0.01975779747174551,0.737,ns
lon38_2533lat11_6353,11.63542,38.25332,Amhara,0.0,81.9,0.1709754931456494,-0.06827552504914965,0.385,ns
lon38_2665lat12_9624,12.96256,38.26677,Amhara,0.0,0.0,0.15517453823116825,-0.06196574068639817,0.609,ns
lon38_2668lat13_2009,13.20089,38.2668,Amhara,0.0,-62.900000000000006,0.003631686857773715,-0.0014502389931249997,0.99,ns
lon38_2705lat5_3933,5.39321,38.27041,Oromia,0.0,14.399999999999991,-0.4445578197219772,0.17752496570000711,0.462,ns
lon38_2737lat12_3049,12.30528,38.27347,Amhara,0.0,30.900000000000006,-0.012084117913563147,0.004825542422044786,0.967,ns
lon38_2763lat9_7666,9.76678,38.27651,Oromia,3.0,-17.200000000000003,0.0988281404420198,0.009909860531974355,0.782,ns
lon38_2849lat11_4658,11.46565,38.285,Amhara,0.0,-112.8,0.05048521273185411,-0.020160224971826984,0.796,ns
lon38_2852lat8_3936,8.39364,38.28543,Oromia,0.0,-245.89999999999998,-0.3727100111873424,0.14883403016836255,0.164,ns
lon38_2858lat11_6874,11.68742,38.28543,Amhara,0.0,-84.4,0.2823460151779544,-0.11274903833959515,0.169,ns
lon38_2971lat7_0801,7.07989,38.29739,SNNPR,6.0,-168.8,0.17471123685325726,0.10480519148476859,0.491,ns
lon38_2975lat13_4618,13.46178,38.29745,Amhara,0.0,-54.1,-0.04909960781490602,0.019606912321722653,0.916,ns
lon38_3009lat11_0261,11.0261,38.30096,Amhara,0.0,-142.0,0.3422708246659482,-0.13667877093453315,0.206,ns
lon38_3032lat11_8063,11.80642,38.30343,Amhara,0.0,-25.69999999999999,0.10982774466370578,-0.04385743707427501,0.557,ns
lon38_3187lat10_6051,10.60504,38.31859,Amhara,0.0,-23.60000000000001,0.4186493100766709,-0.1671789385195658,0.023,conf_lo_nbr_up
lon38_3196lat13_0797,13.07967,38.31963,Amhara,0.0,68.4,0.024503386909958298,-0.009784920493457479,0.938,ns
lon38_3215lat9_1556,9.15667,38.32153,Oromia,4.0,-7.599999999999994,-0.02719094729461877,-0.007254762210303653,0.914,ns
lon38_3241lat11_5425,11.54388,38.32355,Amhara,0.0,43.5,0.02151793002564245,-0.008592740067256735,0.926,ns
lon38_33lat8_0194,8.01933,38.32997,SNNPR,2.0,-55.7,-0.07817336485755128,0.005179818288886339,0.796,ns
lon38_35lat10_4461,10.44609,38.35006,Amhara,0.0,47.39999999999999,0.18645920355387682,-0.07445862438333403,0.392,ns
lon38_361lat7_6799,7.68126,38.36088,SNNPR,0.0,17.699999999999996,0.07345722479508641,-0.029333622610262133,0.829,ns
lon38_3621lat13_0953,13.09623,38.36409,Amhara,0.0,-27.39999999999999,0.1345059905705199,-0.05371218388962371,0.638,ns
lon38_3634lat8_616,8.61599,38.36341,Oromia,0.0,-16.19999999999999,-0.6209753565320886,0.24797365826980852,0.019,conf_lo_nbr_down
lon38_3643lat11_3054,11.30828,38.36404,Amhara,0.0,66.7,-0.18243470527904393,0.07285152427958093,0.482,ns
lon38_3667lat10_2543,10.25439,38.36678,Amhara,0.0,28.200000000000017,0.16075504609954325,-0.06419420102152726,0.613,ns
lon38_3689lat6_9287,6.92881,38.36886,SNNPR,6.0,39.099999999999994,-0.5634708639295739,-0.3380130142391925,0.079,ns
lon38_3724lat10_8778,10.87781,38.37228,Amhara,0.0,191.9,0.17041349122858274,-0.06805110121354377,0.423,ns
lon38_3733lat8_8306,8.83047,38.37277,Oromia,0.0,11.299999999999997,-0.3650987364932624,0.14579462512574085,0.203,ns
lon38_3831lat13_3943,13.39431,38.38305,Amhara,0.0,49.3,-0.21203665853968356,0.08467245173629455,0.559,ns
lon38_3884lat9_1034,9.10334,38.38838,Oromia,3.0,29.699999999999996,0.0002752560410872462,2.7600933960285534e-05,0.999,ns
lon38_393lat7_0462,7.04616,38.39294,SNNPR,6.0,65.60000000000001,-0.20517364079082728,-0.12307887631046144,0.481,ns
lon38_3994lat11_2454,11.2454,38.39937,Amhara,0.0,-123.8,-0.1862009739638732,0.0743555057403265,0.507,ns
lon38_4036lat11_9009,11.90084,38.40348,Amhara,0.0,63.99999999999999,-0.11267104986205159,0.04499285216634709,0.595,ns
lon38_4075lat6_751,6.75096,38.4075,SNNPR,0.0,17.0,-0.411389721809413,0.16427997217375478,0.277,ns
lon38_4207lat8_4664,8.46661,38.42063,Oromia,0.0,-21.30000000000001,-0.4677853304263246,0.18680039143352498,0.06,ns
lon38_4308lat11_4108,11.4109,38.43077,Amhara,0.0,42.2,-0.13854173465226063,0.055323774773646604,0.574,ns
lon38_4377lat11_6017,11.60346,38.43571,Amhara,0.0,40.39999999999999,0.04127286797085627,-0.0164814657302607,0.85,ns
lon38_4383lat13_1163,13.11635,38.43822,Amhara,0.0,-38.3,0.021250004407819198,-0.008485749516187422,0.937,ns
lon38_4423lat6_8744,6.87469,38.44205,SNNPR,0.0,45.0,-0.46790562356085774,0.18684842800747456,0.179,ns
lon38_4492lat9_5204,9.52044,38.44913,Oromia,0.0,16.9,-0.1363208789428419,0.054436922004110815,0.589,ns
lon38_4697lat11_6082,11.60816,38.4697,Amhara,0.0,2.200000000000003,-0.03158875493574559,0.012614315591122058,0.865,ns
lon38_4745lat7_7112,7.71122,38.47435,Oromia,0.0,125.7,-0.019321589148268228,0.007715676788592046,0.957,ns
lon38_4794lat7_1066,7.10652,38.47967,Oromia,8.0,-52.5,0.19802202741997382,0.18474372019076507,0.488,ns
lon38_4955lat8_2588,8.25866,38.49534,SNNPR,0.0,17.10000000000001,-0.3820600684623976,0.15256778205261765,0.151,ns
lon38_4992lat8_6319,8.63197,38.49909,Oromia,0.0,0.3999999999999915,-0.43957305234499733,0.17553440200196152,0.048,conf_lo_nbr_down
lon38_5125lat13_237,13.23662,38.51248,Amhara,0.0,56.4,0.046074133079603175,-0.018398751594853036,0.905,ns
lon38_5174lat11_9261,11.9262,38.51726,Amhara,1.0,12.600000000000009,0.04095620699220451,-0.009534399393121715,0.833,ns
