quarter,n,morans_i,p_perm,mean_dconf_abs,total_conf
2018Q2,1573,0.05868527797720626,0.001,0.6007628734901462,541.0
2018Q3,1235,0.0036422859249875365,0.378,0.4817813765182186,471.0
2018Q4,1308,0.03522402922356981,0.002,0.5053516819571865,597.0
2019Q1,1703,0.04623613514447377,0.001,0.46212566059894306,235.0
2019Q2,1617,0.07270161327901747,0.001,0.22448979591836735,279.0
2019Q3,1055,0.057407253611228774,0.001,0.24265402843601896,119.0
2019Q4,1069,0.05904441435580133,0.001,0.33956969130028064,336.0
2020Q1,1651,0.05982238127792453,0.001,0.38461538461538464,379.0
2020Q2,1523,0.11712954965609952,0.001,0.2764281024294156,226.0
2020Q3,904,0.11587350644193428,0.001,0.17256637168141592,127.0
2020Q4,889,0.07952100012233104,0.001,1.8762654668166479,1646.0
2021Q1,1553,0.03969192362462788,0.001,1.2640051513200257,2747.0
2021Q2,1661,0.07810909062812219,0.001,1.650210716435882,1247.0
2021Q3,1384,0.051793496808715686,0.001,2.058526011560694,2360.0
2021Q4,1415,0.09263794193097112,0.001,2.76113074204947,3393.0
2022Q1,1540,0.07431642589907624,0.001,2.1032467532467534,936.0
2022Q2,1499,0.0715775590235283,0.001,0.875917278185457,1246.0
2022Q3,1173,0.03755335101816823,0.001,1.1227621483375958,1369.0
2022Q4,1175,0.07089515831228854,0.001,1.3642553191489362,1506.0
2023Q1,1512,0.04408371229370518,0.001,1.2050264550264551,1040.0
2023Q2,1486,0.061144134106263126,0.001,0.9811574697173621,1500.0
2023Q3,1308,0.06624223909794341,0.001,1.7224770642201834,2535.0
2023Q4,1286,0.03419872913877278,0.003,1.6189735614307932,2529.0
