weight,avg_neighbors,mean_moran_i,n_quarters,n_sig_pos,n_sig_neg,spillover_coef,spillover_se,spillover_p,comovement_slope,pct_nbr_declined_conflict,pct_nbr_declined_nonconf
15km,3.073446327683616,0.10078080893861587,23,21,0,-1.0029402536437582,0.09186096898114988,9.453012648543875e-28,0.17938682535425393,0.6121481481481481,0.5829823889739663
25km,8.64180790960452,0.08124391968591116,23,22,0,-1.061362033010822,0.06253859226557408,1.3390399734559794e-64,0.28537249206538345,0.6301815226225955,0.596155474637988
40km,21.053107344632767,0.062066574299859005,23,22,0,-0.9371929727818918,0.04701090055962411,1.996844522964546e-88,0.41045320524035955,0.645187165775401,0.603082532316871
60km,44.26101694915254,0.050387518270797675,23,22,0,-0.7668948613570692,0.03782823029681143,2.2228445254721976e-91,0.570627893396687,0.6477484678923527,0.6077785102175346
8-NN,8.0,0.0739333807269825,23,22,0,-1.0796389393896486,0.06463159219972034,1.2152652371470328e-62,0.3209067080033817,0.622435385025313,0.5963438735177866
