ring,coef,se,p
0-10km,-0.8633132973244791,0.3190914951814116,0.006819440438024633
10-20km,-0.7068599058266007,0.19529637836143524,0.0002952623911892524
20-50km,-0.2883344477794706,0.053550895160802234,7.272437817765176e-08
