lambda_km,coef,se,p,effect_1sd,r2,aic,N
5,-3.019429982510956,0.555049411027765,5.330148849061557e-08,-2.5676110086584494,0.033264598695616154,362968.06420045404,31772
10,-2.6424816078006264,0.3051725727326668,4.76026159595269e-18,-3.9512406027988765,0.034789115966678,362917.9210125636,31772
20,-1.324407268209159,0.12688977513728295,1.6722085696539163e-25,-4.718871658224305,0.03577114134154302,362885.57907182915,31772
40,-0.5580473441306378,0.05623106289366612,3.267685784470553e-23,-4.9082771250676736,0.0358128791809974,362884.2037517224,31772
