ring,lag,coef,se,t,p
0-10km,0,-1.2470546651351473,0.35229938300287184,-3.539758300186923,0.0004004936382229564
0-10km,1,-0.7008091880476708,0.299338342953762,-2.3411941855905942,0.019222166410865434
0-10km,2,0.5502715934279376,0.37581579006449845,1.4642056240731627,0.14313777402524255
0-10km,cumulative,-1.3975922597548804,0.7553594926871318,-1.850234588014584,0.06427974581569801
10-20km,0,-0.7718517411355753,0.21872776643910427,-3.528823768931347,0.00041741099969952943
10-20km,1,-0.08328094033804441,0.20792644355552395,-0.4005307786443496,0.6887656184436238
10-20km,2,-0.06905865510915236,0.1875265564924967,-0.3682606687864795,0.7126788766877385
10-20km,cumulative,-0.9241913365827721,0.45874281704508113,-2.01461756401071,0.04394473570053483
20-50km,0,-0.31003618397048716,0.05611761742653412,-5.524756719694457,3.299424717767793e-08
20-50km,1,-0.022196370101482923,0.04915761286844081,-0.45153474317165215,0.6516041904737038
20-50km,2,-0.1549174369476305,0.04910112557940293,-3.1550689545213944,0.0016046017679710786
20-50km,cumulative,-0.48714999101960055,0.105723513595816,-4.607773374634415,4.07003908476113e-06
