model,term,coef,se,t,p,N
own effect: d_act ~ d_conf,d_conf,-1.136602073592981,0.13433073435982082,-8.461221320717694,2.6459170780156162e-17,31519
SPILLOVER: Wd_act ~ d_conf,d_conf,-0.9371929727818918,0.04701090055962411,-19.93565240455767,1.996844522964546e-88,31519
SPILLOVER (levels): Wd_act ~ conf,conf,-0.7823259290045294,0.04989208584184659,-15.680361239745157,2.0607888033086775e-55,31519
comovement: d_act ~ Wd_act * conf_exposed,Wd_act,0.4017387496008857,0.02388899323623923,16.816897456836074,1.835212072322457e-63,31519
comovement: d_act ~ Wd_act * conf_exposed,Wd_act:conf_exposed,0.03259942880643924,0.04079135124665922,0.7991750165204227,0.4241889363683894,31519
comovement: d_act ~ Wd_act * conf_exposed,conf_exposed,-1.9916296147045633,0.8549828825153185,-2.3294379986243525,0.019835874015443265,31519
