lambda_km,coef_L0,coef_L1,coef_L2,cumulative,cumulative_p,lag_joint_p,aic,N
5,-3.9832413749293822,-1.963628872174993,0.5604785817359089,-5.386391665368466,6.169978521338772e-06,1.028112812319175e-05,329759.71978651336,28945
10,-3.1665481067012378,-1.093639087994333,-0.06802209276613674,-4.328209287461708,9.371160842306403e-12,0.00010144941092315042,329711.2338442326,28945
20,-1.484069063709752,-0.30699021946701943,-0.22374711538835368,-2.014806398565125,1.3442610150376458e-16,0.005211960822836011,329686.3044203429,28945
40,-0.6049152791154493,-0.06564521751858217,-0.12599960743992858,-0.79656010407396,7.052594671063347e-17,0.00953279520975416,329689.1315943337,28945
