market,lat,lon,region,d_act,Wd_act_centered,lisa,local_p,lisa_sig,conf
lon37_8841lat11_6519,11.65289,37.88641,Amhara,-29.10000000000001,19.094976442873968,LH,0.323,ns,0.0
lon37_8848lat11_3092,11.30735,37.88408,Amhara,-197.1,2.9146431095406333,LH,0.332,ns,0.0
lon37_888lat12_2981,12.29809,37.88805,Amhara,78.6,10.421937227187692,HH,0.28,ns,0.0
lon37_8903lat12_6368,12.63692,37.89056,Amhara,70.9,0.025104648002175267,HH,0.991,ns,0.0
lon37_8904lat12_1119,12.11184,37.89014,Amhara,-32.400000000000006,18.09616691906444,LH,0.348,ns,0.0
lon37_8908lat10_9283,10.92844,37.89081,Amhara,75.8,33.318461291358815,HH,0.053,ns,0.0
lon37_8919lat4_9623,4.96259,37.89162,Oromia,80.9,37.18664310954064,HH,0.254,ns,0.0
lon37_8995lat13_1525,13.15815,37.90601,Amhara,-51.9,-10.463356890459364,LL,0.479,ns,1.0
lon37_9014lat5_6806,5.6806,37.9016,SNNPR,-5.3999999999999915,-19.513356890459363,LL,0.906,ns,0.0
lon37_9083lat5_8337,5.83761,37.89488,SNNPR,-19.299999999999997,-5.613356890459356,LL,0.906,ns,0.0
lon37_9099lat12_9512,12.95132,37.90993,Amhara,99.0,-3.813356890459363,HL,0.528,ns,0.0
lon37_9189lat11_7133,11.71333,37.91894,Amhara,40.900000000000006,24.478309776207297,HH,0.194,ns,0.0
lon37_9244lat8_4412,8.44197,37.92183,Oromia,42.99999999999999,4.423006745904277,HH,0.7,ns,0.0
lon37_9275lat8_123,8.12372,37.92681,SNNPR,8.900000000000006,-18.343356890459354,HL,0.741,ns,0.0
lon37_9289lat7_7324,7.73237,37.92898,SNNPR,-4.0,-21.81335689045936,LL,0.826,ns,0.0
lon37_9445lat11_3827,11.38546,37.94291,Amhara,-26.799999999999997,-10.340629617732093,LL,0.549,ns,0.0
lon37_9513lat7_3453,7.345,37.95159,SNNPR,-108.79999999999998,30.413915836813363,LH,0.052,ns,0.0
lon37_9608lat14_0948,14.09469,37.96073,Tigray,77.1,-10.533356890459359,HL,0.332,ns,0.0
lon37_9694lat10_9681,10.96798,37.96896,Amhara,2.0999999999999943,17.982295283453677,HH,0.894,ns,0.0
lon37_9696lat10_403,10.40156,37.96735,Amhara,-139.6,-6.2514521285546065,LL,0.233,ns,0.0
lon37_9733lat10_8407,10.84079,37.97325,Amhara,31.700000000000003,18.440214538112063,HH,0.3,ns,0.0
lon37_9757lat8_5386,8.53162,37.97118,Oromia,-70.6,-24.000856890459357,LL,0.199,ns,0.0
lon37_9843lat12_0745,12.07451,37.9843,Amhara,-10.899999999999991,16.965809776207298,LH,0.65,ns,0.0
lon37_9845lat9_6123,9.61301,37.98219,Oromia,6.5,-32.300856890459364,HL,0.728,ns,1.0
lon37_9895lat14_4527,14.45274,37.98947,Tigray,-106.39999999999999,27.40092882382634,LH,0.089,ns,0.0
lon37_9914lat12_7442,12.74411,37.99137,Amhara,52.10000000000001,0.16521453811206843,HH,0.97,ns,0.0
lon37_9951lat10_6164,10.6166,37.99499,Amhara,1.5999999999999943,5.700928823826347,HH,0.964,ns,0.0
lon38_0047lat11_9919,11.99186,38.00459,Amhara,-89.9,16.73479125768878,LH,0.095,ns,0.0
lon38_0078lat12_348,12.34799,38.00787,Amhara,-60.7,7.168996050717107,LH,0.438,ns,0.0
lon38_0158lat11_8549,11.86438,38.01729,Amhara,39.2,11.147357395254918,HH,0.383,ns,0.0
